ID,UPC,Multiplicador,Multiplicador Socio,Material
ID8412779500100,8412779500100,10,30,brick leche
ID7613287607409,7613287607409,10,30,botella agua
ID8411434030020,8411434030020,10,30,brick leche
ID8425561010084,8425561010084,10,30,botella agua
ID8410283006125,8410283006125,10,30,botella gaseosa
ID8410881002000,8410881002000,10,30,botella agua
ID8410881000013,8410881000013,10,30,botella agua
ID8431876264814,8431876264814,10,30,brick tomate
ID8411630400108,8411630400108,10,30,botella agua
ID8412598000515,8412598000515,30,50,lata cerveza
ID8423415201008,8423415201008,10,30,botella agua
ID8480000290328,8480000290328,30,50,lata cola
ID8431707000116,8431707000116,10,30,botella zumo
ID8410881002048,8410881002048,10,30,botella agua
ID8480000664662,8480000664662,10,30,botella cerveza
ID8414100333241,8414100333241,30,50,lata tonica
ID4054500121020,4054500121020,30,50,lata cerveza
ID4054500121037,4054500121037,30,50,lata cerveza
ID9700000000024,9700000000024,10,30,botella zumo
ID9700000000031,9700000000031,10,30,botella zumo
ID8413402992002,8413402992002,10,30,botella agua
ID8412779500100,8412779500100,10,30,brick leche
ID8480010110463,8480010110463,10,30,botella refresco
ID8412779300106,8412779300106,10,30,brick leche
ID3560070824816,3560070824816,10,30,botella gaseosa
ID8431876306965,8431876306965,10,30,botella agua
ID5000112545326,5000112545326,30,50,lata refresco
ID8410881000112,8410881000112,10,30,botella agua
ID8480000105462,8480000105462,10,30,botella yogur
ID8436019097106,8436019097106,10,30,brick leche
ID8480024831231,8480024831231,10,30,brick leche
ID8480024834720,8480024834720,10,30,botella agua
ID8429359000004,8429359000004,10,30,botella agua
ID8437013325271,8437013325271,30,50,lata refresco
ID8423415401002,8423415401002,10,30,botella agua
ID8413574023306,8413574023306,10,30,botella agua
ID8437003318160,8437003318160,10,30,botella agua
ID8410494300029,8410494300029,30,50,lata refresco
ID8431876059236,8431876059236,30,50,botella gaseosa
ID8431876267259,8431876267259,10,30,botella agua
ID3560070708628,3560070708628,30,50,lata cerveza
ID20269364,20269364,10,30,botella agua
ID8430807001467,8430807001467,10,30,botella gaseosa
ID8433329075756,8433329075756,10,30,brick leche
ID8410297111068,8410297111068,10,30,botella leche
ID8410590111031,8410590111031,30,50,lata cerveza
ID8480012001417,8480012001417,30,50,lata cerveza
ID5449000133328,5449000133328,10,30,botella refresco
ID8410707106158,8410707106158,10,30,brick zumo
ID8480017367976,8480017367976,30,50,lata cerveza
ID8480000281937,8480000281937,10,30,botella refresco
ID8480000281876,8480000281876,10,30,botella refresco
ID8480000285768,8480000285768,10,30,botella refresco
ID8480000286888,8480000286888,10,30,botella refresco
ID5000112642896,5000112642896,10,30,botella refresco
ID8410379930945,8410379930945,10,30,brick leche
ID8410379930952,8410379930952,10,30,brick leche
ID5449000120731,5449000120731,10,30,botella agua
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
